,Timestamp (ms),Left Eye Center X,Left Eye Center Y,Right Eye Center X,Right Eye Center Y,Left Iris Relative Pos Dx,Left Iris Relative Pos Dy,Right Iris Relative Pos Dx,Right Iris Relative Pos Dy,Total Blink Count,Pitch,Yaw,Roll
0,1730389596362,451.5,277.0,388.5,274.0,74,3,-52,-6,0,0.0,0.0,0.0
1,1730389596362,451.5,277.0,388.5,274.0,74,3,-52,-6,0,0.0,0.0,0.0
2,1730389596476,450.9545593261719,276.9545593261719,388.0,273.5,74,2,-51,-6,0,0.4012855963468809,-0.6826243397881209,-0.1606815905778744
3,1730389596476,450.9545593261719,276.9545593261719,388.0,273.5,74,2,-51,-6,0,0.4012855963468809,-0.6826243397881209,-0.1606815905778744
4,1730389596487,451.0,276.5,388.0,273.5,75,2,-51,-6,0,0.5839233952970249,-0.7860505091736156,-0.2409855431000638
5,1730389596487,451.0,276.5,388.0,273.5,75,2,-51,-6,0,0.5839233952970249,-0.7860505091736156,-0.2409855431000638
6,1730389596501,450.9545593261719,276.9545593261719,388.0,273.5,74,2,-51,-6,0,0.6752422947720973,-0.837763593866363,-0.2811375193611587
7,1730389596501,450.9545593261719,276.9545593261719,388.0,273.5,74,2,-51,-6,0,0.6752422947720973,-0.837763593866363,-0.2811375193611587
8,1730389596514,451.5,276.5,389.0,273.5,74,2,-51,-6,0,0.7882470489593176,-0.955213807217441,-0.2992928716140017
9,1730389596514,451.5,276.5,389.0,273.5,74,2,-51,-6,0,0.7882470489593176,-0.955213807217441,-0.2992928716140017
10,1730389596530,453.0,277.5,390.5,274.5,74,3,-50,-5,0,0.851607742240513,-1.200610010591208,-0.1981340489328764
11,1730389596530,453.0,277.5,390.5,274.5,74,3,-50,-5,0,0.851607742240513,-1.200610010591208,-0.1981340489328764
12,1730389596545,455.0,278.0,393.5,276.0,75,3,-48,-4,0,0.8578775721523959,-1.5774383304933792,-0.1477654123354881
13,1730389596545,455.0,278.0,393.5,276.0,75,3,-48,-4,0,0.8578775721523959,-1.5774383304933792,-0.1477654123354881
14,1730389596570,457.0,278.5,393.0,276.0,76,3,-50,-4,0,0.850965951886554,-2.264098675522262,-0.0980105519981919
15,1730389596570,457.0,278.5,393.0,276.0,76,3,-50,-4,0,0.850965951886554,-2.264098675522262,-0.0980105519981919
16,1730389596609,458.0,278.5,394.5,276.0,76,3,-50,-4,0,0.8366518720725553,-2.782734564163584,-0.0580666909092202
17,1730389596609,458.0,278.5,394.5,276.0,76,3,-50,-4,0,0.8366518720725553,-2.782734564163584,-0.0580666909092202
18,1730389596641,459.0,279.0,396.0,276.0,76,3,-49,-5,0,0.8669526910162118,-3.322494660624783,0.0220657273196067
19,1730389596641,459.0,279.0,396.0,276.0,76,3,-49,-5,0,0.8669526910162118,-3.322494660624783,0.0220657273196067
20,1730389596669,460.0357055664063,279.0535583496094,397.0,276.5,77,3,-49,-5,0,0.892875539953141,-4.198380017433483,0.0630233735890271
21,1730389596669,460.0357055664063,279.0535583496094,397.0,276.5,77,3,-49,-5,0,0.892875539953141,-4.198380017433483,0.0630233735890271
22,1730389596711,460.0,279.0,397.0,277.0,76,3,-50,-4,0,0.9509412990047484,-5.007773168840127,0.1499213110804325
23,1730389596711,460.0,279.0,397.0,277.0,76,3,-50,-4,0,0.9509412990047484,-5.007773168840127,0.1499213110804325
