,Timestamp (ms),Left Eye Center X,Left Eye Center Y,Right Eye Center X,Right Eye Center Y,Left Iris Relative Pos Dx,Left Iris Relative Pos Dy,Right Iris Relative Pos Dx,Right Iris Relative Pos Dy,Total Blink Count,Pitch,Yaw,Roll
8010,1730389766003,416.0,296.5,352.0,288.5,76,8,-50,-10,5,-4.99897302848961,27.55015198877905,3.243032634544597
8011,1730389766003,416.0,296.5,352.0,288.5,76,8,-50,-10,5,-4.99897302848961,27.55015198877905,3.243032634544597
8012,1730389766024,416.5,296.5,353.0,288.5,76,8,-49,-10,5,-4.954785743181883,27.388988609606148,3.074754408799273
8013,1730389766024,416.5,296.5,353.0,288.5,76,8,-49,-10,5,-4.954785743181883,27.388988609606148,3.074754408799273
8014,1730389766064,417.0,296.5,352.5,288.5,76,8,-50,-10,5,-4.851298698193332,27.22793601006821,2.9001057443193314
8015,1730389766064,417.0,296.5,352.5,288.5,76,8,-50,-10,5,-4.851298698193332,27.22793601006821,2.9001057443193314
8016,1730389766099,418.0,296.5,353.0,288.5,76,8,-50,-10,5,-4.715843752585858,27.26079580321414,2.753481052518969
8017,1730389766099,418.0,296.5,353.0,288.5,76,8,-50,-10,5,-4.715843752585858,27.26079580321414,2.753481052518969
8018,1730389766131,418.5,296.5,353.9615478515625,289.0384521484375,76,8,-51,-10,5,-4.711224966972782,26.905324263310497,2.632219312087416
8019,1730389766131,418.5,296.5,353.9615478515625,289.0384521484375,76,8,-51,-10,5,-4.711224966972782,26.905324263310497,2.632219312087416
8020,1730389766162,419.0,296.5,354.0384521484375,288.9615478515625,76,8,-51,-11,5,-4.792072724836725,26.77059658871988,2.5565623739065018
8021,1730389766162,419.0,296.5,354.0384521484375,288.9615478515625,76,8,-51,-11,5,-4.792072724836725,26.77059658871988,2.5565623739065018
8022,1730389766203,419.5,296.5,355.0,288.5,75,8,-50,-11,5,-4.796747888324299,26.71248820603705,2.511754124687532
8023,1730389766203,419.5,296.5,355.0,288.5,75,8,-50,-11,5,-4.796747888324299,26.71248820603705,2.511754124687532
8024,1730389766233,420.5,296.5,355.5,288.5,76,9,-50,-11,5,-4.7252608128851765,26.50181050905752,2.4150061536385072
8025,1730389766233,420.5,296.5,355.5,288.5,76,9,-50,-11,5,-4.7252608128851765,26.50181050905752,2.4150061536385072
8026,1730389766266,420.5,296.0,356.0,288.5,75,9,-50,-10,5,-4.657290042577316,26.541223136050508,2.3357247751396635
8027,1730389766266,420.5,296.0,356.0,288.5,75,9,-50,-10,5,-4.657290042577316,26.541223136050508,2.3357247751396635
8028,1730389766299,421.0,296.0,356.9556884765625,288.0316467285156,76,9,-50,-10,5,-4.719088266293465,26.51789618118041,2.309319457988079
8029,1730389766299,421.0,296.0,356.9556884765625,288.0316467285156,76,9,-50,-10,5,-4.719088266293465,26.51789618118041,2.309319457988079
8030,1730389766337,421.5,295.5,357.0,287.5,75,8,-49,-11,5,-4.640118667465945,26.50771000847028,2.2275188184993606
8031,1730389766337,421.5,295.5,357.0,287.5,75,8,-49,-11,5,-4.640118667465945,26.50771000847028,2.2275188184993606
8032,1730389766366,422.0,295.5,357.5,287.5,76,8,-50,-11,5,-4.588401612136423,26.14573132142803,2.1997227671356807
8033,1730389766366,422.0,295.5,357.5,287.5,76,8,-50,-11,5,-4.588401612136423,26.14573132142803,2.1997227671356807
8034,1730389766396,422.5,295.5,357.9615478515625,287.0384521484375,75,9,-50,-10,5,-4.503779022558391,25.91281768587937,2.221996840808376
8035,1730389766396,422.5,295.5,357.9615478515625,287.0384521484375,75,9,-50,-10,5,-4.503779022558391,25.91281768587937,2.221996840808376
8036,1730389766439,422.5,294.5,358.0,287.0,75,8,-49,-10,5,-4.425805133204156,25.65305418983421,2.2231943665800395
8037,1730389766439,422.5,294.5,358.0,287.0,75,8,-49,-10,5,-4.425805133204156,25.65305418983421,2.2231943665800395
8038,1730389766462,422.5,294.5,358.0,286.5,75,8,-50,-11,5,-4.258621023155479,25.60522105200349,2.25215665113846
8039,1730389766462,422.5,294.5,358.0,286.5,75,8,-50,-11,5,-4.258621023155479,25.60522105200349,2.25215665113846
8040,1730389766503,423.0,294.5,358.5,286.5,76,8,-51,-11,5,-4.089954811075264,25.444478688621867,2.2147351360326777
8041,1730389766503,423.0,294.5,358.5,286.5,76,8,-51,-11,5,-4.089954811075264,25.444478688621867,2.2147351360326777
8042,1730389766535,423.5,294.5,358.5,286.5,76,8,-51,-11,5,-3.9442421812979855,25.06289322416346,2.1824322234281563
8043,1730389766535,423.5,294.5,358.5,286.5,76,8,-51,-11,5,-3.9442421812979855,25.06289322416346,2.1824322234281563
8044,1730389766567,423.5,294.5,359.0,287.0,76,8,-50,-10,5,-3.8533059046571054,24.44477093804578,2.1695679611253142
8045,1730389766567,423.5,294.5,359.0,287.0,76,8,-50,-10,5,-3.8533059046571054,24.44477093804578,2.1695679611253142
8046,1730389766609,423.5,294.5,358.5,286.5,76,8,-51,-11,5,-3.912125435924958,24.230571533405534,2.202601277075705
8047,1730389766609,423.5,294.5,358.5,286.5,76,8,-51,-11,5,-3.912125435924958,24.230571533405534,2.202601277075705
8048,1730389766639,424.0,294.5,359.0,286.5,77,8,-51,-11,5,-3.921525999171584,23.77284534119809,2.2130699967244665
8049,1730389766639,424.0,294.5,359.0,286.5,77,8,-51,-11,5,-3.921525999171584,23.77284534119809,2.2130699967244665
8050,1730389766672,424.0,294.5,359.0384521484375,286.9615478515625,77,8,-51,-11,5,-4.086074236432319,23.24445146285915,2.244653878396069
